Date,Open,High,Low,Close,Adj Close,Volume
2004-01-02,111.739998,112.190002,110.730003,111.230003,78.268326,38072300
2004-01-05,111.690002,112.519997,111.589996,112.440002,79.119766,27959800
2004-01-06,112.160004,112.730003,112.000000,112.550003,79.197174,20472800
2004-01-07,112.389999,113.059998,111.889999,112.930000,79.464569,30170400
2004-01-08,113.250000,113.410004,112.769997,113.379997,79.781219,36438400
2004-01-09,112.830002,113.500000,112.269997,112.389999,79.084587,54084300
2004-01-12,112.550003,113.250000,112.360001,113.220001,79.668640,31564100
2004-01-13,113.089996,113.230003,111.760002,112.559998,79.204208,54239700
2004-01-14,112.760002,113.660004,112.669998,113.500000,79.865631,30112800
2004-01-15,113.570000,114.059998,112.580002,113.779999,80.062675,38408700
2004-01-16,114.040001,114.309998,113.629997,114.230003,80.379318,31922700
2004-01-20,114.529999,114.650002,113.820000,114.199997,80.358215,29863000
2004-01-21,114.129997,115.300003,113.720001,115.099998,80.991501,30725000
2004-01-22,115.139999,115.379997,114.580002,114.800003,80.780403,29888500
2004-01-23,115.000000,115.370003,113.949997,114.430000,80.520058,44245300
2004-01-26,114.389999,115.930000,114.379997,115.870003,81.533310,30460600
2004-01-27,115.750000,116.500000,114.650002,114.680000,80.695976,35322800
2004-01-28,114.980003,115.279999,112.940002,113.370003,79.774162,52621300
2004-01-29,113.559998,113.849998,112.559998,113.480003,79.851563,60117100
2004-01-30,113.519997,113.720001,113.089996,113.480003,79.851563,30984400
2004-02-02,113.699997,114.680000,113.120003,113.970001,80.196381,38832400
2004-02-03,113.739998,114.139999,113.440002,113.779999,80.062675,25093500
2004-02-04,113.190002,113.730003,112.790001,112.849998,79.408279,39332600
2004-02-05,113.169998,113.540001,112.779999,113.180000,79.640457,37226800
2004-02-06,113.419998,114.699997,113.199997,114.449997,80.534126,37216000
2004-02-09,114.669998,114.870003,114.290001,114.480003,80.555237,24851300
2004-02-10,114.279999,115.139999,114.260002,114.849998,80.815598,27908100
2004-02-11,114.849998,116.389999,114.169998,116.070000,81.674065,42965700
2004-02-12,115.970001,116.269997,115.580002,115.650002,81.378532,27814700
2004-02-13,115.820000,116.199997,114.750000,115.129997,81.012611,44739900
2004-02-17,115.849998,116.430000,115.769997,116.169998,81.744438,23984300
2004-02-18,116.199997,116.599998,115.349998,115.660004,81.385536,28618000
2004-02-19,116.330002,116.389999,115.059998,115.230003,81.082954,51146200
2004-02-20,115.480003,115.559998,114.320000,114.879997,80.836708,46728800
2004-02-23,115.220001,115.260002,114.169998,114.589996,80.632660,36357000
2004-02-24,114.269997,114.989998,113.029999,114.389999,80.491905,43953000
2004-02-25,114.459999,115.059998,114.320000,114.870003,80.829651,31213600
2004-02-26,114.610001,115.290001,114.339996,114.940002,80.878929,29683000
2004-02-27,115.190002,115.739998,114.629997,115.019997,80.935188,39312000
2004-03-01,115.430000,116.339996,115.250000,116.160004,81.737389,33130800
2004-03-02,115.940002,116.970001,115.230003,115.480003,81.258888,38556400
2004-03-03,115.250000,115.870003,114.919998,115.690002,81.406654,31346200
2004-03-04,115.720001,116.099998,115.519997,115.989998,81.617775,21060000
2004-03-05,115.419998,116.949997,115.279999,116.379997,81.892197,55905600
2004-03-08,116.339996,116.620003,114.910004,114.959999,80.892998,39281600
2004-03-09,115.099998,115.209999,114.239998,114.500000,80.569305,39746100
2004-03-10,114.720001,114.769997,112.559998,112.580002,79.218246,67671800
2004-03-11,112.400002,113.269997,111.099998,111.120003,78.190918,89134800
2004-03-12,111.730003,112.709999,111.580002,112.580002,79.218246,54012200
2004-03-15,112.269997,112.349998,110.900002,111.199997,78.247246,57677200
2004-03-16,111.779999,112.059998,110.839996,111.790001,78.662369,59832600
2004-03-17,112.180000,113.260002,112.099998,113.040001,79.541969,41607300
2004-03-18,112.699997,113.269997,111.930000,113.070000,79.563072,60014300
2004-03-19,112.410004,112.570000,111.040001,111.059998,78.422668,48636200
2004-03-22,110.540001,110.570000,109.099998,109.650002,77.427025,62752100
2004-03-23,110.250000,110.400002,109.360001,109.459999,77.292839,54080200
2004-03-24,109.580002,110.139999,108.849998,109.550003,77.356415,51584300
2004-03-25,110.080002,111.300003,109.790001,111.000000,78.380325,49873600
2004-03-26,110.959999,111.790001,110.800003,111.029999,78.401489,37409500
2004-03-29,111.629997,112.739998,111.580002,112.589996,79.503036,44113600
2004-03-30,112.300003,113.070000,112.220001,112.970001,79.771385,39059900
2004-03-31,112.989998,113.400002,112.379997,113.099998,79.863197,48517600
2004-04-01,113.070000,113.870003,113.050003,113.779999,80.343338,45103800
2004-04-02,114.809998,114.839996,113.900002,114.639999,80.950638,50987700
2004-04-05,114.459999,115.379997,114.440002,115.269997,81.395493,30251800
2004-04-06,114.830002,115.180000,114.620003,114.900002,81.134209,28420900
2004-04-07,114.949997,114.980003,114.110001,114.629997,80.943558,45890500
2004-04-08,115.410004,115.410004,113.739998,114.370003,80.759949,46929700
2004-04-12,114.580002,115.080002,114.570000,114.820000,81.077698,23085200
2004-04-13,115.260002,115.300003,113.019997,113.209999,79.940857,56210300
2004-04-14,112.610001,113.639999,112.550003,113.389999,80.067955,62322300
2004-04-15,113.449997,113.779999,112.360001,112.959999,79.764320,61602500
2004-04-16,113.379997,114.050003,112.980003,113.830002,80.378654,47059200
2004-04-19,113.550003,113.989998,113.269997,113.830002,80.378654,28277600
2004-04-20,114.080002,114.320000,111.779999,111.919998,79.029915,53299400
